Timestamp,Battery Voltage (V),Solar Voltage (V),Ultrasonic Range,RSSI
2025-02-15 11:28:17,3.844,5.025,755,-20
2025-02-15 11:28:20,3.846,5.02,758,-20
2025-02-15 11:28:24,3.844,5.03,754,-20
2025-02-15 11:28:27,3.844,5.025,757,-21
2025-02-15 11:28:30,3.844,5.047,764,-20
2025-02-15 11:28:33,3.844,5.052,763,-20
2025-02-15 11:28:37,3.842,5.054,767,-20
2025-02-15 11:28:40,3.846,2.922,767,-25
2025-02-15 11:28:43,3.842,5.044,764,-20
2025-02-15 11:28:46,3.844,5.059,763,-20
2025-02-15 11:28:50,3.846,5.059,766,-20
2025-02-15 11:28:53,3.844,5.025,766,-20
2025-02-15 11:28:56,3.844,5.025,763,-20
2025-02-15 11:29:00,3.844,5.025,763,-20
2025-02-15 11:29:03,3.842,5.035,766,-20
2025-02-15 11:29:06,3.846,5.035,767,-20
2025-02-15 11:29:09,3.842,5.052,763,-20
2025-02-15 11:33:55,3.844,5.032,767,-19
2025-02-15 11:33:58,3.842,5.027,764,-20
2025-02-15 11:34:01,3.844,5.032,764,-19
2025-02-15 11:34:04,3.842,5.056,767,-19
2025-02-15 11:34:08,3.846,5.02,768,-20
2025-02-15 11:34:11,3.842,5.047,763,-20
2025-02-15 11:34:14,3.844,5.037,763,-20
2025-02-15 11:34:17,3.842,5.035,766,-19
2025-02-15 11:34:21,3.844,5.015,767,-19
2025-02-15 11:34:24,3.842,5.044,763,-19
2025-02-15 11:47:17,3.84,5.039,764,-19
2025-02-15 11:47:21,3.838,5.054,763,-19
2025-02-15 11:47:24,3.842,5.013,766,-19
2025-02-15 11:47:27,3.838,4.969,768,-22
2025-02-15 11:47:30,3.838,3.176,764,-25
2025-02-15 11:47:34,3.842,3.529,763,-25
2025-02-15 11:47:37,3.836,2.635,767,-23
2025-02-15 11:47:40,3.84,5.039,767,-23
2025-02-15 11:47:44,3.838,4.713,764,-24
2025-02-15 11:47:47,3.838,3.145,762,-23
2025-02-15 11:47:50,3.84,5.018,766,-19
2025-02-15 11:47:53,3.84,5.042,744,-20
2025-02-15 11:47:57,3.838,5.039,741,-20
2025-02-15 11:48:00,3.842,5.044,744,-20
2025-02-15 11:48:03,3.838,5.047,740,-20
2025-02-15 11:48:07,3.84,5.003,743,-20
2025-02-15 11:48:10,3.84,5.054,740,-20
2025-02-15 11:48:13,3.838,5.008,744,-20
2025-02-15 11:50:11,3.84,5.044,744,-20
2025-02-15 11:50:14,3.838,5.02,740,-20
2025-02-15 11:50:18,3.842,5.027,743,-20
2025-02-15 11:50:21,3.838,5.032,741,-20
2025-02-15 11:50:24,3.84,5.003,744,-20
2025-02-15 11:50:27,3.84,5.02,741,-20
2025-02-15 11:50:31,3.838,5.032,743,-20
2025-02-15 11:50:34,3.842,5.047,741,-20
2025-02-15 11:50:37,3.838,5.037,744,-20
2025-02-15 11:50:41,3.838,5.027,740,-20
2025-02-15 11:50:44,3.838,5.042,743,-20
2025-02-15 11:50:47,3.838,5.042,741,-20
2025-02-15 11:50:50,3.842,5.039,743,-20
2025-02-15 11:50:54,3.836,5.042,740,-20
2025-02-15 11:50:57,3.842,5.018,743,-20
2025-02-15 11:51:00,3.838,5.02,742,-20
2025-02-15 11:51:03,3.838,5.02,744,-20
2025-02-15 11:51:07,3.84,5.047,740,-20
2025-02-15 11:51:10,3.838,5.035,743,-20
2025-02-15 11:51:13,3.842,5.052,741,-20
2025-02-15 11:51:17,3.836,5.03,744,-20
2025-02-15 11:51:20,3.838,5.015,740,-20
2025-02-15 11:51:53,3.84,5.025,741,-20
2025-02-15 11:51:56,3.838,5.044,743,-20
2025-02-15 11:51:59,3.84,5.018,740,-20
2025-02-15 11:52:02,3.838,5.015,743,-20
2025-02-15 11:52:06,3.838,5.039,764,-20
2025-02-15 11:52:09,3.84,2.567,1238,-38
2025-02-15 11:52:12,3.838,2.572,1248,-33
2025-02-15 11:52:16,3.836,2.557,1238,-32
2025-02-15 11:52:19,3.84,2.562,1230,-31
2025-02-15 11:52:22,3.836,2.569,1200,-30
2025-02-15 11:52:25,3.838,2.557,1156,-31
2025-02-15 11:52:29,3.838,2.671,1152,-29
2025-02-15 11:52:32,3.834,2.879,1124,-24
2025-02-15 11:52:35,3.838,2.908,1079,-25
2025-02-15 11:52:38,3.838,2.85,991,-37
2025-02-15 11:52:42,3.836,2.572,863,-22
2025-02-15 11:52:48,3.84,3.945,828,-48
2025-02-15 11:52:52,3.836,4.278,754,-40
2025-02-15 11:52:55,3.836,4.225,755,-39
2025-02-15 11:52:58,3.84,4.268,751,-34
2025-02-15 11:53:01,3.834,4.268,756,-37
2025-02-16 16:24:35,3.988,5.298,688,-62
2025-02-16 16:24:39,3.988,5.366,692,-62
2025-02-16 16:24:42,3.994,5.296,691,-61
2025-02-16 16:24:46,3.988,5.303,691,-63
2025-02-16 16:24:49,3.988,5.291,688,-62
2025-02-16 16:24:53,3.994,5.209,692,-62
2025-02-16 16:24:55,3.988,5.441,691,-65
2025-02-16 16:24:59,3.986,5.421,690,-62
2025-02-16 16:25:02,3.99,5.426,688,-63
2025-02-16 16:25:05,3.994,5.443,691,-68
2025-02-16 16:25:09,3.99,5.397,691,-68
2025-02-16 16:25:12,3.986,5.206,690,-64
2025-02-16 18:36:54,3.952,0.276,682,-65
2025-02-16 18:36:58,3.95,0.273,683,-63
2025-02-16 18:37:01,3.946,0.273,683,-64
2025-02-16 18:37:05,3.95,0.273,681,-64
2025-02-16 18:37:08,3.954,0.268,682,-64
2025-02-16 18:37:11,3.95,0.273,682,-65
2025-02-16 18:37:14,3.946,0.268,683,-67
2025-02-22 10:15:04,3.76,4.943,9999,-55
2025-02-22 10:15:07,3.612,4.735,9999,-57
2025-02-22 10:15:11,3.728,4.853,696,-67
2025-02-22 10:15:14,3.742,4.906,696,-57
2025-02-22 10:15:17,3.74,4.919,694,-57
2025-02-22 10:15:21,3.738,4.926,699,-56
2025-02-22 10:15:24,3.74,4.928,698,-67
2025-02-22 10:15:27,3.738,4.897,696,-67
2025-02-22 10:15:30,3.742,4.923,695,-67
2025-02-22 10:15:34,3.74,4.882,697,-67
2025-02-22 10:15:37,3.744,4.921,697,-73
2025-02-22 10:16:30,3.74,4.926,698,-68
2025-02-22 10:16:33,3.742,4.933,697,-68
2025-02-22 10:16:36,3.74,4.902,695,-68
2025-02-22 10:16:39,3.744,4.928,697,-68
